kzg_variant,function_name,size,mean
KZGDeriv,commit,16,472857.30279546016
KZGFK,commit,16,496714.0508736664
KZGOriginal,commit,16,501204.1068011103
KZGFK,commit,16,496714.0508736664
KZGTabDFK,commit,16,490229.51604774717
KZGTabDFK,commit,16,490229.51604774717
KZGOriginal,commit,16,501204.1068011103
KZGDeriv,commit,16,472857.30279546016
KZGTabDFK,commit,32,842474.3638043798
KZGTabDFK,commit,32,842474.3638043798
KZGFK,commit,32,857104.845864115
KZGOriginal,commit,32,856951.2421743035
KZGOriginal,commit,32,856951.2421743035
KZGDeriv,commit,32,832419.4174253677
KZGDeriv,commit,32,832419.4174253677
KZGFK,commit,32,857104.845864115
KZGOriginal,commit,64,1449289.038415218
KZGOriginal,commit,64,1449289.038415218
KZGDeriv,commit,64,1404654.4335543346
KZGFK,commit,64,1450789.5702746282
KZGDeriv,commit,64,1404654.4335543346
KZGFK,commit,64,1450789.5702746282
KZGTabDFK,commit,64,1427094.5166604663
KZGTabDFK,commit,64,1427094.5166604663
KZGFK,commit,128,2040725.1392945326
KZGDeriv,commit,128,2008915.9518987231
KZGDeriv,commit,128,2008915.9518987231
KZGOriginal,commit,128,2040865.1201675485
KZGOriginal,commit,128,2040865.1201675485
KZGTabDFK,commit,128,2014055.179517771
KZGFK,commit,128,2040725.1392945326
KZGTabDFK,commit,128,2014055.179517771
KZGTabDFK,commit,256,3347530.077969104
KZGDeriv,commit,256,3383730.3598633157
KZGDeriv,commit,256,3383730.3598633157
KZGOriginal,commit,256,3420741.336271311
KZGFK,commit,256,3433239.7633377425
KZGOriginal,commit,256,3420741.336271311
KZGFK,commit,256,3433239.7633377425
KZGTabDFK,commit,256,3347530.077969104
KZGOriginal,commit,512,6114704.463774802
KZGOriginal,commit,512,6114704.463774802
KZGTabDFK,commit,512,5789773.475138889
KZGDeriv,commit,512,5798287.951922123
KZGTabDFK,commit,512,5789773.475138889
KZGDeriv,commit,512,5798287.951922123
KZGFK,commit,512,6087869.316969248
KZGFK,commit,512,6087869.316969248
KZGOriginal,commit,1024,10418139.193562608
KZGOriginal,commit,1024,10418139.193562608
KZGDeriv,commit,1024,10115424.125206348
KZGFK,commit,1024,10436991.34212522
KZGTabDFK,commit,1024,10112895.136609348
KZGTabDFK,commit,1024,10112895.136609348
KZGFK,commit,1024,10436991.34212522
KZGDeriv,commit,1024,10115424.125206348
KZGOriginal,commit,2048,19013494.19230952
KZGFK,commit,2048,18877443.019333333
KZGOriginal,commit,2048,19013494.19230952
KZGDeriv,commit,2048,18288806.02560318
KZGTabDFK,commit,2048,18566074.377753966
KZGTabDFK,commit,2048,18566074.377753966
KZGDeriv,commit,2048,18288806.02560318
KZGFK,commit,2048,18877443.019333333
