kzg_variant,function_name,size,mean
KZGOriginal,new,16,991819.4039898205
KZGDeriv,new,16,4417254.930298564
KZGDeriv,new,16,4417254.930298564
KZGTabDFK,new,16,4562957.607994048
KZGTabDFK,new,16,4562957.607994048
KZGFK,new,16,992389.6914087303
KZGFK,new,16,992389.6914087303
KZGOriginal,new,16,991819.4039898205
KZGTabDFK,new,32,9022831.398780664
KZGTabDFK,new,32,9022831.398780664
KZGDeriv,new,32,9953885.438801587
KZGDeriv,new,32,9953885.438801587
KZGFK,new,32,1875667.547643343
KZGFK,new,32,1875667.547643343
KZGOriginal,new,32,1888695.0032256234
KZGOriginal,new,32,1888695.0032256234
KZGDeriv,new,64,21499651.88792857
KZGDeriv,new,64,21499651.88792857
KZGTabDFK,new,64,17928421.346501324
KZGOriginal,new,64,3659700.2709142854
KZGFK,new,64,3638523.775705128
KZGFK,new,64,3638523.775705128
KZGOriginal,new,64,3659700.2709142854
KZGTabDFK,new,64,17928421.346501324
KZGFK,new,128,7167099.681379731
KZGDeriv,new,128,46972356.75664683
KZGDeriv,new,128,46972356.75664683
KZGOriginal,new,128,7161993.409300978
KZGTabDFK,new,128,35810475.589682534
KZGOriginal,new,128,7161993.409300978
KZGTabDFK,new,128,35810475.589682534
KZGFK,new,128,7167099.681379731
KZGTabDFK,new,256,71542176.38462302
KZGDeriv,new,256,100526310.30857143
KZGTabDFK,new,256,71542176.38462302
KZGDeriv,new,256,100526310.30857143
KZGOriginal,new,256,14216051.370345805
KZGFK,new,256,14227453.037154194
KZGOriginal,new,256,14216051.370345805
KZGFK,new,256,14227453.037154194
KZGTabDFK,new,512,142864366.1096032
KZGOriginal,new,512,28716629.66206349
KZGOriginal,new,512,28716629.66206349
KZGDeriv,new,512,216445961.0333334
KZGDeriv,new,512,216445961.0333334
KZGTabDFK,new,512,142864366.1096032
KZGFK,new,512,28340563.07786707
KZGFK,new,512,28340563.07786707
KZGDeriv,new,1024,458866050.0
KZGTabDFK,new,1024,285641456.3
KZGDeriv,new,1024,458866050.0
KZGTabDFK,new,1024,285641456.3
KZGFK,new,1024,56562658.73875
KZGFK,new,1024,56562658.73875
KZGOriginal,new,1024,56506620.35867064
KZGOriginal,new,1024,56506620.35867064
KZGOriginal,new,2048,112917724.90484127
KZGTabDFK,new,2048,571242000.0
KZGTabDFK,new,2048,571242000.0
KZGDeriv,new,2048,982252020.8
KZGDeriv,new,2048,982252020.8
KZGFK,new,2048,112953011.69265874
KZGOriginal,new,2048,112917724.90484127
KZGFK,new,2048,112953011.69265874
