kzg_variant,function_name,size,mean
KZGOriginal,open_all,16,7013950.75576923
KZGDeriv,open_all,16,10198887.161538798
KZGDeriv,open_all,16,10198887.161538798
KZGOriginal,open_all,16,7013950.75576923
KZGTabDFK,open_all,16,10092960.765011905
KZGTabDFK,open_all,16,10092960.765011905
KZGFK,open_all,16,7716867.413210978
KZGFK,open_all,16,7716867.413210978
KZGOriginal,open_all,32,25988007.68999008
KZGOriginal,open_all,32,25988007.68999008
KZGDeriv,open_all,32,23775114.352529764
KZGDeriv,open_all,32,23775114.352529764
KZGFK,open_all,32,30663764.209021162
KZGTabDFK,open_all,32,24540593.606121033
KZGTabDFK,open_all,32,24540593.606121033
KZGFK,open_all,32,30663764.209021162
KZGFK,open_all,64,120693201.24674602
KZGTabDFK,open_all,64,57788753.79984126
KZGTabDFK,open_all,64,57788753.79984126
KZGOriginal,open_all,64,90570337.21343254
KZGOriginal,open_all,64,90570337.21343254
KZGFK,open_all,64,120693201.24674602
KZGDeriv,open_all,64,54493476.24845238
KZGDeriv,open_all,64,54493476.24845238
KZGDeriv,open_all,128,123218881.90214284
KZGDeriv,open_all,128,123218881.90214284
KZGFK,open_all,128,475199512.55
KZGFK,open_all,128,475199512.55
KZGTabDFK,open_all,128,133801754.33670636
KZGTabDFK,open_all,128,133801754.33670636
KZGOriginal,open_all,128,283009833.35
KZGOriginal,open_all,128,283009833.35
KZGFK,open_all,256,1877601475.1
KZGOriginal,open_all,256,943280312.3
KZGTabDFK,open_all,256,303471541.65
KZGDeriv,open_all,256,276396299.9
KZGTabDFK,open_all,256,303471541.65
KZGOriginal,open_all,256,943280312.3
KZGFK,open_all,256,1877601475.1
KZGDeriv,open_all,256,276396299.9
KZGTabDFK,open_all,512,679094141.5
KZGFK,open_all,512,7454335729.3
KZGTabDFK,open_all,512,679094141.5
KZGDeriv,open_all,512,610678970.7
KZGDeriv,open_all,512,610678970.7
KZGOriginal,open_all,512,3258525654.2
KZGOriginal,open_all,512,3258525654.2
KZGFK,open_all,512,7454335729.3
KZGTabDFK,open_all,1024,1499116870.7
KZGTabDFK,open_all,1024,1499116870.7
KZGFK,open_all,1024,29641319654.0
KZGDeriv,open_all,1024,1350230712.6
KZGDeriv,open_all,1024,1350230712.6
KZGOriginal,open_all,1024,11239884258.4
KZGOriginal,open_all,1024,11239884258.4
KZGFK,open_all,1024,29641319654.0
KZGOriginal,open_all,2048,39309874208.2
KZGOriginal,open_all,2048,39309874208.2
KZGFK,open_all,2048,117511745625.0
KZGFK,open_all,2048,117511745625.0
KZGDeriv,open_all,2048,2968514454.3
KZGTabDFK,open_all,2048,3282835883.3
KZGTabDFK,open_all,2048,3282835883.3
KZGDeriv,open_all,2048,2968514454.3
