kzg_variant,function_name,size,mean
KZGFK,open,16,436952.7152785409
KZGTabDFK,open,16,3422676.59537037
KZGTabDFK,open,16,3422676.59537037
KZGDeriv,open,16,650052.3004940476
KZGDeriv,open,16,650052.3004940476
KZGFK,open,16,436952.7152785409
KZGOriginal,open,16,441136.49720995326
KZGOriginal,open,16,441136.49720995326
KZGFK,open,32,805454.5979326452
KZGOriginal,open,32,812511.4443510325
KZGOriginal,open,32,812511.4443510325
KZGTabDFK,open,32,7016942.483293651
KZGTabDFK,open,32,7016942.483293651
KZGDeriv,open,32,994789.4431530365
KZGDeriv,open,32,994789.4431530365
KZGFK,open,32,805454.5979326452
KZGTabDFK,open,64,14205633.81669501
KZGTabDFK,open,64,14205633.81669501
KZGFK,open,64,1415339.1351587302
KZGFK,open,64,1415339.1351587302
KZGDeriv,open,64,1579314.3507779145
KZGDeriv,open,64,1579314.3507779145
KZGOriginal,open,64,1416221.632990232
KZGOriginal,open,64,1416221.632990232
KZGFK,open,128,2206999.5083890776
KZGTabDFK,open,128,28634127.719880957
KZGTabDFK,open,128,28634127.719880957
KZGFK,open,128,2206999.5083890776
KZGOriginal,open,128,2240850.4863482383
KZGOriginal,open,128,2240850.4863482383
KZGDeriv,open,128,2203540.125413279
KZGDeriv,open,128,2203540.125413279
KZGDeriv,open,256,3669381.4277047617
KZGTabDFK,open,256,57416421.83111112
KZGTabDFK,open,256,57416421.83111112
KZGDeriv,open,256,3669381.4277047617
KZGFK,open,256,3686278.902761905
KZGFK,open,256,3686278.902761905
KZGOriginal,open,256,3686236.4907523803
KZGOriginal,open,256,3686236.4907523803
KZGDeriv,open,512,6511972.318183107
KZGFK,open,512,6239555.558044975
KZGFK,open,512,6239555.558044975
KZGDeriv,open,512,6511972.318183107
KZGOriginal,open,512,6369620.57083598
KZGOriginal,open,512,6369620.57083598
KZGTabDFK,open,512,115032521.95273809
KZGTabDFK,open,512,115032521.95273809
KZGOriginal,open,1024,10942713.176181657
KZGOriginal,open,1024,10942713.176181657
KZGTabDFK,open,1024,230170993.03333336
KZGDeriv,open,1024,11692577.822728174
KZGTabDFK,open,1024,230170993.03333336
KZGFK,open,1024,10994766.409259258
KZGFK,open,1024,10994766.409259258
KZGDeriv,open,1024,11692577.822728174
KZGFK,open,2048,19458548.76973016
KZGFK,open,2048,19458548.76973016
KZGTabDFK,open,2048,460846077.1
KZGDeriv,open,2048,22773605.32073413
KZGDeriv,open,2048,22773605.32073413
KZGTabDFK,open,2048,460846077.1
KZGOriginal,open,2048,19142967.525714286
KZGOriginal,open,2048,19142967.525714286
