kzg_variant,function_name,size,mean
KZGDeriv,update_open_j,16,105387.17474710473
KZGOriginal,update_open_j,16,2.6173753519104275
KZGOriginal,update_open_j,16,2.6173753519104275
KZGFK,update_open_j,16,2.618606414152361
KZGFK,update_open_j,16,2.618606414152361
KZGDeriv,update_open_j,16,105387.17474710473
KZGTabDFK,update_open_j,16,224363.6538505781
KZGTabDFK,update_open_j,16,224363.6538505781
KZGOriginal,update_open_j,32,2.6158562798673786
KZGOriginal,update_open_j,32,2.6158562798673786
KZGFK,update_open_j,32,2.6179061068898597
KZGTabDFK,update_open_j,32,224677.0188931021
KZGDeriv,update_open_j,32,105271.96091620116
KZGDeriv,update_open_j,32,105271.96091620116
KZGFK,update_open_j,32,2.6179061068898597
KZGTabDFK,update_open_j,32,224677.0188931021
KZGDeriv,update_open_j,64,106004.04290541788
KZGDeriv,update_open_j,64,106004.04290541788
KZGFK,update_open_j,64,2.6184196707298466
KZGFK,update_open_j,64,2.6184196707298466
KZGOriginal,update_open_j,64,2.618017846414216
KZGTabDFK,update_open_j,64,225014.5634929453
KZGTabDFK,update_open_j,64,225014.5634929453
KZGOriginal,update_open_j,64,2.618017846414216
KZGDeriv,update_open_j,128,105876.53972259615
KZGDeriv,update_open_j,128,105876.53972259615
KZGTabDFK,update_open_j,128,224948.28500872036
KZGTabDFK,update_open_j,128,224948.28500872036
KZGFK,update_open_j,128,2.6181973325810657
KZGOriginal,update_open_j,128,2.616327735035642
KZGOriginal,update_open_j,128,2.616327735035642
KZGFK,update_open_j,128,2.6181973325810657
KZGDeriv,update_open_j,256,106139.61719053195
KZGDeriv,update_open_j,256,106139.61719053195
KZGFK,update_open_j,256,2.619089304882232
KZGOriginal,update_open_j,256,2.6173612733153804
KZGOriginal,update_open_j,256,2.6173612733153804
KZGFK,update_open_j,256,2.619089304882232
KZGTabDFK,update_open_j,256,224933.89628722696
KZGTabDFK,update_open_j,256,224933.89628722696
KZGFK,update_open_j,512,2.618224556734897
KZGFK,update_open_j,512,2.618224556734897
KZGOriginal,update_open_j,512,2.6192026353103928
KZGDeriv,update_open_j,512,105977.06274902771
KZGTabDFK,update_open_j,512,225229.33848990253
KZGTabDFK,update_open_j,512,225229.33848990253
KZGOriginal,update_open_j,512,2.6192026353103928
KZGDeriv,update_open_j,512,105977.06274902771
KZGOriginal,update_open_j,1024,2.618446457870587
KZGOriginal,update_open_j,1024,2.618446457870587
KZGDeriv,update_open_j,1024,106350.28875464667
KZGFK,update_open_j,1024,2.6167027383083914
KZGFK,update_open_j,1024,2.6167027383083914
KZGDeriv,update_open_j,1024,106350.28875464667
KZGTabDFK,update_open_j,1024,225043.85367201007
KZGTabDFK,update_open_j,1024,225043.85367201007
KZGTabDFK,update_open_j,2048,225115.45468126278
KZGDeriv,update_open_j,2048,106059.02994175252
KZGFK,update_open_j,2048,2.61771648919543
KZGOriginal,update_open_j,2048,2.6151147668090915
KZGOriginal,update_open_j,2048,2.6151147668090915
KZGTabDFK,update_open_j,2048,225115.45468126278
KZGDeriv,update_open_j,2048,106059.02994175252
KZGFK,update_open_j,2048,2.61771648919543
