kzg_variant,function_name,size,mean
KZGFK,verify,16,930334.7366468252
KZGFK,verify,16,930334.7366468252
KZGTabDFK,verify,16,929223.8285560415
KZGTabDFK,verify,16,929223.8285560415
KZGOriginal,verify,16,930629.6817796405
KZGOriginal,verify,16,930629.6817796405
KZGDeriv,verify,16,933189.84335196
KZGDeriv,verify,16,933189.84335196
KZGFK,verify,32,930743.7746035794
KZGOriginal,verify,32,929231.2836410755
KZGOriginal,verify,32,929231.2836410755
KZGDeriv,verify,32,930307.885707807
KZGFK,verify,32,930743.7746035794
KZGDeriv,verify,32,930307.885707807
KZGTabDFK,verify,32,929271.3854863137
KZGTabDFK,verify,32,929271.3854863137
KZGDeriv,verify,64,937267.6356705539
KZGTabDFK,verify,64,934064.0077595562
KZGTabDFK,verify,64,934064.0077595562
KZGFK,verify,64,930412.8756045513
KZGDeriv,verify,64,937267.6356705539
KZGOriginal,verify,64,929281.0455745871
KZGOriginal,verify,64,929281.0455745871
KZGFK,verify,64,930412.8756045513
KZGTabDFK,verify,128,930683.2394225786
KZGFK,verify,128,930833.3699882571
KZGDeriv,verify,128,930074.6872473275
KZGDeriv,verify,128,930074.6872473275
KZGOriginal,verify,128,929961.6483357629
KZGOriginal,verify,128,929961.6483357629
KZGTabDFK,verify,128,930683.2394225786
KZGFK,verify,128,930833.3699882571
KZGFK,verify,256,930549.1763645936
KZGOriginal,verify,256,929835.4001951733
KZGDeriv,verify,256,939041.8432437408
KZGDeriv,verify,256,939041.8432437408
KZGTabDFK,verify,256,930606.0892403629
KZGFK,verify,256,930549.1763645936
KZGOriginal,verify,256,929835.4001951733
KZGTabDFK,verify,256,930606.0892403629
KZGOriginal,verify,512,929414.9024242793
KZGOriginal,verify,512,929414.9024242793
KZGFK,verify,512,930658.3630806608
KZGFK,verify,512,930658.3630806608
KZGDeriv,verify,512,934665.6446298996
KZGTabDFK,verify,512,931057.7895906221
KZGDeriv,verify,512,934665.6446298996
KZGTabDFK,verify,512,931057.7895906221
KZGTabDFK,verify,1024,930620.2536228539
KZGOriginal,verify,1024,929524.4328174604
KZGOriginal,verify,1024,929524.4328174604
KZGFK,verify,1024,929375.7611767087
KZGTabDFK,verify,1024,930620.2536228539
KZGFK,verify,1024,929375.7611767087
KZGDeriv,verify,1024,933393.7062167963
KZGDeriv,verify,1024,933393.7062167963
KZGDeriv,verify,2048,930026.0409920635
KZGOriginal,verify,2048,929419.8029239554
KZGFK,verify,2048,932338.1013419178
KZGOriginal,verify,2048,929419.8029239554
KZGTabDFK,verify,2048,930771.1797886299
KZGTabDFK,verify,2048,930771.1797886299
KZGFK,verify,2048,932338.1013419178
KZGDeriv,verify,2048,930026.0409920635
